year,state,fips,gender,births
2011,Oregon,41,female,21947
2011,Oregon,41,male,23208
2011,Oregon,41,total,45155
2011,Pennsylvania,42,female,69778
2011,Pennsylvania,42,male,73400
2011,Pennsylvania,42,total,143178
2011,Rhode Island,44,female,5342
2011,Rhode Island,44,male,5618
2011,Rhode Island,44,total,10960
2011,South Carolina,45,female,27966
2011,South Carolina,45,male,29427
2011,South Carolina,45,total,57393
2011,South Dakota,46,female,5813
2011,South Dakota,46,male,6033
2011,South Dakota,46,total,11846
2011,Tennessee,47,female,39077
2011,Tennessee,47,male,40511
2011,Tennessee,47,total,79588
2011,Texas,48,female,184597
2011,Texas,48,male,192848
2011,Texas,48,total,377445
2011,Utah,49,female,24932
2011,Utah,49,male,26291
2011,Utah,49,total,51223
2011,Vermont,50,female,2956
2011,Vermont,50,male,3122
2011,Vermont,50,total,6078
2011,Virginia,51,female,50062
2011,Virginia,51,male,52590
2011,Virginia,51,total,102652
2011,Washington,53,female,42344
2011,Washington,53,male,44632
2011,Washington,53,total,86976
2011,West Virginia,54,female,9965
2011,West Virginia,54,male,10752
2011,West Virginia,54,total,20717
2011,Wisconsin,55,female,33111
2011,Wisconsin,55,male,34699
2011,Wisconsin,55,total,67810
2011,Wyoming,56,female,3590
2011,Wyoming,56,male,3809
2011,Wyoming,56,total,7399
2011,United States,,total,3953590
2012,Alabama,01,female,28772
2012,Alabama,01,male,29676
2012,Alabama,01,total,58448
2012,Alaska,02,female,5477
2012,Alaska,02,male,5710
2012,Alaska,02,total,11187
2012,Arizona,04,female,42166
2012,Arizona,04,male,44275
2012,Arizona,04,total,86441
2012,Arkansas,05,female,18674
2012,Arkansas,05,male,19673
2012,Arkansas,05,total,38347
2012,California,06,female,246316
2012,California,06,male,257439
2012,California,06,total,503755
2012,Colorado,08,female,31646
2012,Colorado,08,male,33541
2012,Colorado,08,total,65187
2012,Connecticut,09,female,17920
2012,Connecticut,09,male,18619
2012,Connecticut,09,total,36539
2012,Delaware,10,female,5430
2012,Delaware,10,male,5593
2012,Delaware,10,total,11023
2012,District of Columbia,11,female,4577
2012,District of Columbia,11,male,4822
2012,District of Columbia,11,total,9399
2012,Florida,12,female,104034
2012,Florida,12,male,109114
2012,Florida,12,total,213148
2012,Georgia,13,female,64172
2012,Georgia,13,male,66108
2012,Georgia,13,total,130280
2012,Hawaii,15,female,9300
2012,Hawaii,15,male,9680
2012,Hawaii,15,total,18980
2012,Idaho,16,female,11295
2012,Idaho,16,male,11668
2012,Idaho,16,total,22963
2012,Illinois,17,female,77887
2012,Illinois,17,male,81273
2012,Illinois,17,total,159160
2012,Indiana,18,female,40618
2012,Indiana,18,male,42609
2012,Indiana,18,total,83227
2012,Iowa,19,female,18871
2012,Iowa,19,male,19831
2012,Iowa,19,total,38702
2012,Kansas,20,female,19726
2012,Kansas,20,male,20615
2012,Kansas,20,total,40341
2012,Kentucky,21,female,27129
2012,Kentucky,21,male,28629
2012,Kentucky,21,total,55758
2012,Louisiana,22,female,30458
2012,Louisiana,22,male,32184
2012,Louisiana,22,total,62642
2012,Maine,23,female,6210
2012,Maine,23,male,6588
2012,Maine,23,total,12798
2012,Maryland,24,female,35817
2012,Maryland,24,male,37066
2012,Maryland,24,total,72883
2012,Massachusetts,25,female,35366
2012,Massachusetts,25,male,37073
2012,Massachusetts,25,total,72439
2012,Michigan,26,female,55162
2012,Michigan,26,male,57929
2012,Michigan,26,total,113091
2012,Minnesota,27,female,33588
2012,Minnesota,27,male,35184
2012,Minnesota,27,total,68772
2012,Mississippi,28,female,19092
2012,Mississippi,28,male,19577
2012,Mississippi,28,total,38669
2012,Missouri,29,female,36788
2012,Missouri,29,male,38658
2012,Missouri,29,total,75446
2012,Montana,30,female,5924
2012,Montana,30,male,6194
2012,Montana,30,total,12118
2012,Nebraska,31,female,12639
2012,Nebraska,31,male,13303
2012,Nebraska,31,total,25942
2012,Nevada,32,female,16891
2012,Nevada,32,male,18020
2012,Nevada,32,total,34911
2012,New Hampshire,33,female,6070
2012,New Hampshire,33,male,6282
2012,New Hampshire,33,total,12352
2012,New Jersey,34,female,51138
2012,New Jersey,34,male,53092
2012,New Jersey,34,total,104230
2012,New Mexico,35,female,13214
2012,New Mexico,35,male,13854
2012,New Mexico,35,total,27068
2012,New York,36,female,117491
2012,New York,36,male,123425
2012,New York,36,total,240916
2012,North Carolina,37,female,58665
2012,North Carolina,37,male,61166
2012,North Carolina,37,total,119831
2012,North Dakota,38,female,4923
2012,North Dakota,38,male,5183
2012,North Dakota,38,total,10106
2012,Ohio,39,female,67469
2012,Ohio,39,male,71014
2012,Ohio,39,total,138483
2012,Oklahoma,40,female,25828
2012,Oklahoma,40,male,26923
2012,Oklahoma,40,total,52751
2012,Oregon,41,female,21941
2012,Oregon,41,male,23126
2012,Oregon,41,total,45067
2012,Pennsylvania,42,female,69661
2012,Pennsylvania,42,male,72853
2012,Pennsylvania,42,total,142514
2012,Rhode Island,44,female,5385
2012,Rhode Island,44,male,5541
2012,Rhode Island,44,total,10926
2012,South Carolina,45,female,28107
2012,South Carolina,45,male,29048
2012,South Carolina,45,total,57155
2012,South Dakota,46,female,5847
2012,South Dakota,46,male,6257
2012,South Dakota,46,total,12104
2012,Tennessee,47,female,39088
2012,Tennessee,47,male,41283
2012,Tennessee,47,total,80371
2012,Texas,48,female,187054
2012,Texas,48,male,195673
2012,Texas,48,total,382727
2012,Utah,49,female,24957
2012,Utah,49,male,26508
2012,Utah,49,total,51465
